caseid,ClintonTherm,RConserv,ClintonConserv,PID,GOP
1853,70,4,5,3,0
1854,30,5,2,2,1
1855,100,4,4,1,0
1857,30,5,3,2,1
1859,70,6,3,2,1
1863,0,6,1,3,0
1865,70,4,3,1,0
1866,20,5,3,2,1
1867,70,3,3,1,0
1870,60,5,5,1,0
1871,100,6,7,1,0
1872,60,5,4,1,0
1874,60,4,6,1,0
1876,15,6,3,2,1
1878,0,7,2,2,1
1879,85,7,6,3,0
1880,60,3,2,2,1
1882,40,5,2,2,1
1883,70,5,4,2,1
1885,0,6,1,2,1
1886,70,3,6,3,0
1887,60,4,1,1,0
1888,60,5,4,3,0
1890,40,6,3,2,1
1891,15,6,3,2,1
1895,30,4,5,2,1
1896,15,6,3,2,1
1898,60,5,3,1,0
1900,40,5,2,3,0
1901,50,4,4,1,0
1902,70,1,2,1,0
1903,70,6,5,1,0
1904,70,6,3,1,0
1905,85,5,5,1,0
1906,85,3,4,3,0
1907,40,6,4,5,0
1908,15,6,2,2,1
1909,85,3,2,1,0
1910,0,4,2,5,0
1911,85,4,3,3,0
1912,70,6,2,2,1
1913,0,4,1,3,0
1915,70,3,3,3,0
1917,85,2,2,1,0
1918,15,4,1,3,0
1919,60,3,2,1,0
1920,100,4,4,1,0
1921,85,3,6,1,0
1923,85,4,3,1,0
1924,60,2,3,1,0
1925,70,5,4,3,0
1926,60,5,2,2,1
1928,60,4,2,3,0
1929,60,4,2,1,0
1930,70,4,5,5,0
1931,85,3,2,1,0
1932,85,6,5,1,0
1933,60,4,2,1,0
1934,0,5,1,2,1
1935,70,3,3,5,0
1936,60,5,4,1,0
1937,40,6,2,2,1
1938,70,4,5,2,1
1939,60,6,3,2,1
1940,50,4,2,3,0
1941,30,6,2,2,1
1942,50,4,3,3,0
1944,85,2,2,1,0
1947,0,6,1,2,1
1948,15,6,3,1,0
1949,0,6,1,2,1
1950,0,7,1,2,1
1951,100,7,7,2,1
1952,85,6,5,2,1
1954,50,4,4,3,0
1955,85,5,6,1,0
1956,40,4,2,3,0
1957,90,2,2,1,0
1958,98,7,7,1,0
1959,85,4,3,1,0
1960,55,6,3,5,0
1962,85,4,6,1,0
1963,100,3,2,1,0
1964,70,3,4,1,0
1965,85,3,4,1,0
1966,0,4,3,2,1
1967,100,6,7,1,0
1969,50,4,2,3,0
1970,70,3,3,3,0
1971,15,5,2,2,1
1972,90,2,2,1,0
1973,85,2,2,1,0
1974,60,6,4,2,1
1975,80,4,3,3,0
1976,30,6,2,2,1
1977,0,5,2,2,1
1979,100,4,4,1,0
1980,0,4,1,2,1
1981,60,4,3,3,0
1983,60,3,4,1,0
1984,50,5,2,2,1
1986,70,3,4,1,0
1987,100,3,3,1,0
1988,85,2,3,1,0
1989,85,4,4,1,0
1991,85,3,2,1,0
1992,85,4,5,1,0
1993,0,6,2,2,1
1994,85,4,4,5,0
1995,85,4,4,1,0
1996,100,4,6,1,0
1997,100,6,5,1,0
1998,0,3,4,3,0
2000,85,6,7,2,1
2001,30,6,3,2,1
2002,70,4,2,5,0
2003,70,3,2,2,1
2004,85,4,3,1,0
2005,30,6,2,2,1
2006,50,5,2,2,1
2007,70,4,5,1,0
2008,70,3,3,1,0
2009,100,2,2,1,0
2010,85,5,2,3,0
2012,30,6,2,3,0
2013,30,5,1,2,1
2014,40,4,3,2,1
2015,70,4,3,3,0
2016,30,6,3,2,1
2017,100,3,3,1,0
2018,70,3,2,5,0
2019,0,6,2,2,1
2020,75,2,3,1,0
2021,5,5,2,3,0
2022,85,3,2,1,0
2023,0,7,1,2,1
2024,60,4,4,3,0
2025,15,5,2,3,0
2026,60,3,2,1,0
2027,5,5,4,5,0
2028,0,2,4,3,0
2030,85,2,3,1,0
2031,70,2,2,1,0
2033,70,3,3,1,0
2034,75,3,5,1,0
2035,67,4,2,2,1
2036,70,3,3,1,0
2037,60,2,3,3,0
2038,70,3,3,1,0
2040,0,6,1,2,1
2041,50,4,5,3,0
2043,0,6,1,2,1
2044,100,4,2,1,0
2045,80,2,3,3,0
2046,85,4,4,3,0
2047,30,6,2,2,1
2048,60,3,3,1,0
2049,30,4,2,2,1
2050,40,6,2,2,1
2051,15,4,2,2,1
2052,60,2,4,1,0
2053,70,3,3,1,0
2058,0,6,1,2,1
2059,30,6,1,2,1
2060,15,5,2,3,0
2061,50,7,1,2,1
2062,30,6,2,2,1
2063,60,6,5,1,0
2064,0,7,1,5,0
2066,60,5,3,2,1
2067,70,4,2,3,0
2068,100,2,1,1,0
2069,60,4,2,2,1
2071,15,6,2,2,1
2072,70,4,4,3,0
2073,85,3,2,5,0
2075,0,6,1,2,1
2076,15,5,2,2,1
2078,0,6,2,2,1
2079,0,6,3,2,1
2080,60,5,2,2,1
2081,40,5,2,2,1
2082,15,4,3,3,0
2083,40,5,3,2,1
2084,100,5,2,1,0
2086,85,3,4,5,0
2087,85,3,4,3,0
2088,40,3,2,2,1
2089,15,6,2,2,1
2090,15,6,2,2,1
2091,15,4,2,2,1
2092,0,6,1,2,1
2094,65,3,3,3,0
2095,70,5,6,1,0
2097,0,4,4,3,0
2098,85,4,3,1,0
2099,15,5,4,5,0
2101,85,3,4,1,0
2102,70,4,5,2,1
2103,0,6,2,2,1
2109,85,5,5,3,0
2110,50,6,2,3,0
2115,70,6,7,3,0
2119,30,7,1,2,1
2120,0,4,1,5,0
2121,90,1,1,1,0
2123,50,1,3,1,0
2124,70,2,3,3,0
2125,85,3,4,1,0
2126,40,5,2,2,1
2127,70,5,2,2,1
2128,85,3,3,1,0
2129,100,2,2,1,0
2130,15,4,5,3,0
2131,100,5,6,1,0
2132,60,3,3,1,0
2133,30,6,2,3,0
2134,30,6,2,2,1
2135,50,5,2,2,1
2138,100,6,4,1,0
2140,60,4,4,5,0
2141,60,4,3,1,0
2142,70,2,2,1,0
2143,15,5,3,5,0
2144,60,5,3,1,0
2145,85,2,4,3,0
2146,85,1,1,1,0
2147,0,6,1,2,1
2148,51,5,2,5,0
2150,100,4,6,1,0
2153,0,6,1,2,1
2156,70,5,2,2,1
2157,70,5,2,2,1
2158,65,4,3,3,0
2159,15,6,3,2,1
2160,70,2,2,3,0
2161,1,7,1,2,1
2162,30,6,1,2,1
2163,85,3,1,1,0
2164,40,6,2,2,1
2165,70,5,3,3,0
2166,85,5,4,3,0
2167,70,4,2,3,0
2168,70,3,4,4,0
2169,80,2,3,1,0
2170,80,4,3,3,0
2171,70,3,4,1,0
2172,50,5,2,1,0
2173,70,5,2,1,0
2174,7,6,2,2,1
2176,80,5,3,2,1
2177,0,6,2,2,1
2178,85,5,4,2,1
2179,0,4,3,2,1
2180,15,6,3,2,1
2181,100,7,7,1,0
2183,25,7,3,3,0
2184,85,3,4,1,0
2185,70,3,2,3,0
2186,85,2,3,1,0
2187,70,5,3,3,0
2188,50,6,2,2,1
2189,0,6,2,2,1
2190,100,4,2,2,1
2192,50,4,4,1,0
2193,40,4,3,3,0
2194,62,2,2,3,0
2195,15,6,2,2,1
2196,70,4,3,1,0
2197,60,4,2,2,1
2199,30,6,1,2,1
2200,30,6,2,2,1
2202,35,6,2,2,1
2205,50,3,4,2,1
2206,70,3,3,2,1
2208,85,2,2,1,0
2210,85,6,2,2,1
2211,0,6,2,2,1
2212,70,5,3,2,1
2214,70,4,3,2,1
2215,85,3,4,3,0
2216,100,4,4,2,1
2217,75,6,4,2,1
2218,50,5,2,2,1
2219,50,5,2,3,0
2220,35,6,2,2,1
2221,96,3,2,1,0
2222,70,4,2,3,0
2223,70,5,4,2,1
2224,85,5,3,2,1
2225,30,5,2,2,1
2227,60,5,3,5,0
2228,15,6,1,2,1
2229,70,3,2,3,0
2230,0,4,2,1,0
2231,85,2,4,1,0
2232,60,4,4,3,0
2233,70,4,3,3,0
2234,100,4,4,1,0
2235,40,4,2,2,1
2236,40,4,2,5,0
2237,15,6,2,2,1
2238,70,4,5,2,1
2239,70,3,2,3,0
2240,85,4,2,1,0
2241,30,6,2,3,0
2242,0,5,1,2,1
2243,70,6,5,3,0
2244,60,6,4,2,1
2245,30,5,2,2,1
2246,40,6,3,2,1
2247,70,5,3,2,1
2248,0,6,2,2,1
2249,90,5,4,1,0
2250,90,3,3,1,0
2251,75,4,4,1,0
2253,75,4,4,1,0
2254,70,6,5,1,0
2255,50,3,2,1,0
2256,85,2,2,1,0
2257,75,2,3,2,1
2258,70,4,2,3,0
2259,15,6,3,2,1
2260,30,5,5,2,1
2261,100,4,4,1,0
2262,100,4,4,1,0
2263,60,5,3,2,1
2264,60,5,2,2,1
2265,100,2,2,1,0
2267,70,5,3,3,0
2268,75,3,4,3,0
2269,40,6,2,2,1
2270,85,4,3,1,0
2271,90,5,4,1,0
2272,100,6,7,1,0
2273,75,4,5,1,0
2274,95,4,2,2,1
2275,85,3,3,1,0
2276,50,6,2,2,1
2277,80,3,3,3,0
2278,50,4,4,3,0
2280,60,4,2,2,1
2281,0,6,2,2,1
2282,15,7,2,2,1
2283,50,5,4,2,1
2284,100,3,3,1,0
2285,15,6,1,2,1
2286,100,4,4,2,1
2287,85,6,5,1,0
2289,100,5,2,1,0
2290,100,3,6,1,0
2291,85,3,4,1,0
2292,60,4,2,5,0
2293,70,4,3,1,0
2294,85,3,5,1,0
2296,100,7,7,3,0
2297,85,1,3,1,0
2298,15,5,1,1,0
2300,25,5,1,3,0
2301,50,5,3,3,0
2302,70,4,3,1,0
2303,30,6,2,2,1
2305,20,6,3,2,1
2306,100,5,3,1,0
2307,85,3,3,1,0
2308,15,6,2,2,1
2309,70,2,3,1,0
2310,70,3,2,3,0
2311,70,4,2,3,0
2312,15,7,2,2,1
2313,30,6,2,2,1
2314,50,4,4,2,1
2315,0,7,2,2,1
2316,70,3,4,1,0
2318,80,2,2,3,0
3001,0,6,2,3,0
3002,0,6,2,5,0
3003,100,4,4,1,0
3004,85,4,4,1,0
3010,85,4,4,1,0
3012,60,4,4,3,0
3014,50,4,4,3,0
3016,15,4,6,3,0
3017,65,6,2,2,1
3018,70,3,2,1,0
3020,50,4,5,3,0
3021,85,5,4,5,0
3022,70,4,6,3,0
3023,60,4,5,2,1
3025,85,5,2,3,0
3026,60,6,3,2,1
3027,70,2,3,1,0
3028,70,4,3,3,0
3030,50,2,3,1,0
3031,90,4,2,3,0
3033,70,5,2,1,0
3034,60,2,4,1,0
3037,60,4,2,3,0
3038,100,2,5,1,0
3041,40,4,2,3,0
3045,50,6,4,5,0
3046,85,4,2,1,0
3049,0,5,2,3,0
3050,85,5,3,1,0
3051,60,6,2,1,0
3052,40,5,3,2,1
3053,85,2,3,3,0
3055,75,2,3,3,0
3057,40,2,3,5,0
3058,60,6,2,2,1
3061,40,4,3,3,0
3065,60,2,2,1,0
3067,100,2,2,1,0
3068,100,6,7,1,0
3070,100,2,2,1,0
3072,70,4,4,5,0
3073,30,5,3,3,0
3075,30,5,2,2,1
3076,60,3,5,2,1
3079,70,4,4,1,0
3080,60,4,2,3,0
3082,100,3,4,1,0
3084,85,3,7,1,0
3086,40,2,5,3,0
3089,60,4,4,3,0
3090,0,6,3,2,1
3093,15,4,2,3,0
3095,70,4,5,5,0
3096,0,6,2,2,1
3098,70,4,3,3,0
3099,30,5,2,2,1
3100,87,4,5,5,0
3101,0,6,1,2,1
3102,80,3,2,5,0
3103,70,3,4,3,0
3104,15,6,2,2,1
3106,85,4,4,3,0
3108,85,2,3,1,0
3114,85,3,3,1,0
3115,70,1,1,1,0
3118,15,6,2,2,1
3119,60,6,3,3,0
3121,15,6,2,3,0
3122,85,2,2,1,0
3126,70,3,3,1,0
3129,40,4,5,3,0
3130,85,2,2,1,0
3133,70,6,4,3,0
3135,85,4,3,5,0
3140,60,4,4,2,1
3141,70,4,3,1,0
3142,85,4,4,1,0
3144,70,3,2,3,0
3146,60,5,2,2,1
3147,30,5,2,2,1
3148,60,2,4,3,0
3149,70,3,3,1,0
3150,0,6,2,2,1
3151,0,5,6,1,0
3153,30,6,2,2,1
3154,60,1,4,3,0
3155,70,2,3,1,0
3156,60,2,4,3,0
3157,60,3,3,1,0
3158,70,2,2,1,0
3159,50,6,1,2,1
3160,40,6,3,2,1
3161,100,4,4,1,0
3162,70,2,4,1,0
3163,70,3,3,3,0
3164,85,1,2,3,0
3165,15,4,3,3,0
3168,100,5,5,1,0
3170,30,6,3,2,1
3171,60,6,2,2,1
3173,30,6,2,2,1
3177,70,2,3,1,0
3178,70,3,3,1,0
3179,70,2,3,3,0
3180,70,5,6,1,0
3181,70,3,4,1,0
3182,100,4,4,3,0
3183,70,2,4,3,0
3184,30,5,3,2,1
3185,70,6,3,3,0
3186,30,6,1,2,1
3187,0,7,2,2,1
3188,60,3,3,3,0
3189,40,4,4,3,0
3190,85,3,3,1,0
3191,0,6,1,2,1
3193,60,4,3,3,0
3194,50,6,3,2,1
3195,60,4,6,2,1
3196,100,4,1,1,0
3197,85,2,2,1,0
3198,0,5,2,2,1
3200,60,3,2,3,0
3201,60,4,2,3,0
3203,60,5,5,3,0
3204,30,5,2,2,1
3205,70,4,2,1,0
3206,40,6,3,2,1
3207,70,3,5,1,0
3209,85,2,2,1,0
3210,70,6,4,3,0
3214,40,6,3,2,1
3215,0,3,3,1,0
3216,70,4,4,1,0
3217,70,5,2,3,0
3218,90,3,4,1,0
3219,15,6,2,2,1
3221,70,3,2,3,0
3223,15,4,2,2,1
3224,85,4,3,1,0
3225,40,5,3,5,0
3226,0,4,1,2,1
3228,50,5,4,2,1
3229,85,2,2,1,0
3231,40,4,4,3,0
3232,60,6,4,5,0
3233,0,6,1,3,0
3234,30,3,4,2,1
3236,70,4,3,5,0
3237,70,2,4,1,0
3238,70,3,3,3,0
3241,70,5,6,2,1
3242,60,4,2,5,0
3243,70,4,3,3,0
3244,70,3,2,1,0
3245,30,6,2,2,1
3246,0,4,2,2,1
3248,0,4,1,3,0
3249,15,5,1,2,1
3251,90,2,2,1,0
3252,40,4,1,1,0
3256,40,4,4,5,0
3257,90,5,4,1,0
3258,100,1,1,3,0
3260,85,4,4,1,0
3261,40,5,1,2,1
3262,40,5,2,3,0
3263,50,5,3,5,0
3266,60,5,2,2,1
3267,70,5,5,1,0
3269,85,3,2,1,0
3273,50,4,6,3,0
3275,100,1,1,1,0
3278,60,5,4,3,0
3279,70,5,4,1,0
3280,60,4,4,3,0
3281,85,3,3,3,0
3282,60,4,4,3,0
3283,70,3,4,3,0
3285,30,5,1,2,1
3286,15,6,2,2,1
3287,85,2,3,1,0
3288,40,4,5,2,1
3289,0,4,1,2,1
3290,40,4,3,2,1
3291,70,4,5,3,0
3293,85,3,3,1,0
3294,40,5,3,2,1
3295,70,2,3,5,0
3296,15,7,2,2,1
3297,60,4,3,1,0
3298,70,5,3,2,1
3299,70,4,5,1,0
3300,40,6,2,2,1
3301,50,6,2,1,0
3302,70,3,4,1,0
3303,60,5,6,3,0
3304,100,1,2,1,0
3305,15,6,1,3,0
3306,100,4,6,1,0
3308,60,2,4,3,0
3309,100,5,7,1,0
3310,0,2,4,3,0
3312,85,4,4,1,0
3313,85,5,7,3,0
3314,85,3,2,1,0
3315,85,5,5,1,0
3316,70,4,3,1,0
3317,15,5,2,2,1
3318,70,4,4,2,1
3319,70,4,2,1,0
3320,40,5,2,2,1
3321,0,6,1,2,1
3323,30,6,4,3,0
3324,15,6,2,2,1
3325,60,4,5,2,1
3327,100,4,4,1,0
3328,30,6,3,3,0
3330,50,7,3,2,1
3331,60,6,2,2,1
3332,70,2,3,1,0
3333,70,4,4,2,1
3334,60,6,3,1,0
3335,85,6,5,1,0
3336,50,5,3,3,0
3337,100,4,7,1,0
3338,100,4,3,1,0
3340,30,4,2,3,0
3343,30,4,3,2,1
3344,70,4,3,1,0
3345,30,6,2,3,0
3346,70,4,3,2,1
3347,60,7,5,1,0
3349,0,4,2,2,1
3350,60,5,5,3,0
3351,70,3,3,1,0
3352,60,5,2,3,0
3354,100,4,6,1,0
3355,70,5,3,1,0
3356,85,3,3,1,0
3357,0,6,2,2,1
3358,30,5,2,2,1
3359,85,2,2,1,0
3361,75,3,3,1,0
3362,100,4,5,1,0
3363,80,4,2,5,0
3366,100,3,3,1,0
3368,60,5,4,2,1
3370,0,6,2,2,1
3371,50,6,4,3,0
3372,0,5,1,2,1
3373,50,6,4,2,1
3375,70,3,6,1,0
3376,70,4,4,2,1
3377,85,4,4,1,0
3379,70,4,5,1,0
3380,60,5,2,2,1
3381,0,3,1,2,1
3382,40,5,2,3,0
3383,85,4,3,1,0
3384,85,3,5,2,1
3385,15,2,3,1,0
3387,0,5,2,3,0
3388,70,6,6,1,0
3390,15,6,2,2,1
3391,100,2,1,1,0
3392,70,7,6,3,0
3395,0,5,1,2,1
3396,100,5,2,3,0
3397,15,6,2,2,1
3399,60,5,3,3,0
3400,70,6,5,1,0
3401,70,4,5,2,1
3402,50,2,4,2,1
3403,60,4,3,1,0
