Country,ISO3,HIVPrevalence,HIVDeathRate,GDPPerCap,CivilWarLag
Barbados,BRB,1.2,0.2835024,25479.139,0
Belize,BLZ,2.0999999,0.31329235,9526.8896,0
"Bahamas, The",BHS,3,0.20132449,25179.799,0
Guyana,GUY,2.5,0.54160315,2447.6357,0
Djibouti,DJI,3.0999999,0.42598099,4273.8481,0
Swaziland,SWZ,26.1,0.3338587,7298.8828,0
Gabon,GAB,5.9000001,0.29306558,7859.1191,0
Estonia,EST,1.3,0.28666875,18883.135,0
Guinea-Bissau,GNB,1.8,0.36061135,622.61377,0
Botswana,BWA,23.9,0.24462812,9404.2295,0
Lesotho,LSO,23.200001,0.38680431,2334.8213,0
Slovenia,SVN,0.050000001,0.99102032,26205.932,0
Namibia,NAM,15.3,0.16024999,6395.4185,0
Latvia,LVA,0.80000001,0.27459252,14923.762,0
Jamaica,JAM,1.6,0.35036251,8221.4521,0
Armenia,ARM,0.1,0.66463691,9555.9541,0
Mauritania,MRT,0.80000001,0.40051511,2300.322,0
Uruguay,URY,0.60000002,0.25070903,12922.588,0
Panama,PAN,1,0.29934698,9139.6592,0
Lithuania,LTU,0.1,0.59248406,14564.954,0
Liberia,LBR,1.7,0.36429432,385.67368,0
"Congo, Rep.",COG,3.5,0.4854506,3339.0579,0
Moldova,MDA,0.40000001,0.065725408,3485.4646,0
Lebanon,LBN,0.1,0.48815301,7736.7554,0
Central African Republic,CAF,6.3000002,0.40199608,863.64221,0
Ireland,IRL,0.2,0.11451624,41624.5,0
Costa Rica,CRI,0.40000001,0.11205254,11830.273,0
Singapore,SGP,0.2,0.21793139,44618.949,0
Eritrea,ERI,1.3,0.4130719,593.29987,0
Kyrgyz Republic,KGZ,0.1,0.38205853,3570.2881,0
Nicaragua,NIC,0.2,0.44606245,2176.3594,0
Sierra Leone,SLE,1.7,0.33192033,1883.806,0
Lao PDR,LAO,0.2,0.085325822,2282.4348,0
Paraguay,PRY,0.60000002,0.27230909,4713.9858,0
Papua New Guinea,PNG,1.5,0.10541689,2206.375,0
Togo,TGO,3.3,0.4190419,868.35297,0
Tajikistan,TJK,0.30000001,0.2472768,2832.7334,0
El Salvador,SLV,0.80000001,0.31007668,5589.3145,0
Honduras,HND,0.69999999,0.38209003,3692.8218,0
Israel,ISR,0.1,0.27854764,24054.961,1
Switzerland,CHE,0.60000002,0.11037415,37301.508,0
Burundi,BDI,2,0.64736992,643.57819,1
Azerbaijan,AZE,0.2,0.058435936,10295.873,0
Somalia,SOM,0.5,0.36798835,462.50906,0
Benin,BEN,1.2,0.30469558,1411.7765,0
Sweden,SWE,0.1,0.10931242,32961.996,0
Guinea,GIN,1.6,0.2998338,3584.5132,0
Bolivia,BOL,0.2,0.26267299,3779.3499,0
Haiti,HTI,2.2,0.34049928,1581.1815,0
Belarus,BLR,0.2,0.56689346,22585.324,0
Dominican Republic,DOM,1.1,0.38324469,9665.1025,0
Rwanda,RWA,2.8,0.28613862,1135.4843,0
Tunisia,TUN,0.1,0.19559138,10121.65,0
Portugal,PRT,0.5,0.094265506,20126.777,0
Belgium,BEL,0.2,0.047055725,33797.531,0
Chad,TCD,3.5,0.37162155,2438.9805,1
Greece,GRC,0.2,0.044669315,27718.164,0
Cuba,CUB,0.1,0.088833503,11130.562,0
Zambia,ZMB,15.2,0.30908147,1978.4299,0
Mali,MLI,1.5,0.3134923,1272.5992,0
Senegal,SEN,1,0.14503153,1901.2302,0
Ecuador,ECU,0.30000001,0.34983608,6025.3726,0
Guatemala,GTM,0.80000001,0.36521715,6094.9854,0
Zimbabwe,ZWE,15.3,0.6827246,1894.3606,0
Malawi,MWI,11.9,0.4105072,1254.5896,0
Niger,NER,0.80000001,0.35223457,859.97729,0
Cambodia,KHM,0.80000001,0.59704876,2823.5276,0
Burkina Faso,BFA,1.6,0.38910687,1381.8655,0
Kazakhstan,KAZ,0.1,0.3229098,15057.702,0
Netherlands,NLD,0.2,0.061045822,34392.336,0
Chile,CHL,0.30000001,0.22095545,18381.162,0
Angola,AGO,2.0999999,0.30905637,5116.4756,0
Cameroon,CMR,5.0999999,0.41262299,2602.2566,0
Cote d'Ivoire,CIV,3.9000001,0.50567967,2228.1787,0
Madagascar,MDG,0.1,0.50838959,856.34662,0
Australia,AUS,0.2,0.023792529,36312.305,0
Mozambique,MOZ,12.5,0.30319759,2218.6624,0
Ghana,GHA,1.9,0.4710961,1652.1993,0
Malaysia,MYS,0.5,0.29379067,17890.977,0
Uzbekistan,UZB,0.1,0.18609637,2083.0938,0
Peru,PER,0.5,0.23657456,6401.251,0
Nepal,NPL,0.5,0.35577577,1932.3533,1
Morocco,MAR,0.1,0.32403782,5419.7759,0
Uganda,UGA,5.4000001,0.46122482,1170.9518,1
Canada,CAN,0.40000001,0.037906356,36168.289,0
Algeria,DZA,0.1,0.29539761,6421.2446,1
Poland,POL,0.1,0.052465126,14485.174,0
Sudan,SDN,1.4,0.46315342,2275.1147,1
Argentina,ARG,0.5,0.35439926,15274.676,0
Tanzania,TZA,6.1999998,0.38295925,921.80231,0
Colombia,COL,0.60000002,0.3713218,7793.2114,1
Spain,ESP,0.5,0.10249796,31445.547,0
Ukraine,UKR,1.6,0.25532499,9870.4404,0
South Africa,ZAF,18.1,0.40411144,10484.088,0
"Korea, Rep.",KOR,0.050000001,0.20637278,23849.619,0
Italy,ITA,0.40000001,0.080000408,28815.244,0
United Kingdom,GBR,0.2,0.040982708,32181.119,0
France,FRA,0.40000001,0.064822383,29633.25,0
Thailand,THA,1.4,0.33570194,9405.6846,1
"Iran, Islamic Rep.",IRN,0.2,0.30272719,10414.055,1
Ethiopia,ETH,2.0999999,0.40341404,1110.3313,1
Germany,DEU,0.1,0.060776707,31306.256,0
Vietnam,VNM,0.5,0.56367868,3742.9807,0
Mexico,MEX,0.30000001,0.34827587,11203.817,0
Russian Federation,RUS,1.1,0.25590175,13406.342,1
Nigeria,NGA,3.0999999,0.37057453,2526.928,0
Pakistan,PAK,0.1,0.31388208,3588.3582,1
Brazil,BRA,0.60000002,0.13047928,9645.5273,0
Indonesia,IDN,0.2,0.19279346,5185.519,0
United States,USA,0.60000002,0.12156536,42886.918,0
China,CHN,0.1,0.29583338,7868.2832,0